representation,field,quartile,definition,support_count,rate_per_1000_parent_bars,support_inside_boundary,support_outside_boundary,valid_support,invalid_support,cap_hit_rate,sample_collapse_flag,concentration_flag,direction_imbalance_flag,up_contrast,down_contrast,third_1_contrast,third_2_contrast,third_3_contrast,equal_support_fixed_contrast,equal_support_contrast_difference,source_median,source_mean,control_median,control_mean,paired_rank_contrast,fraction_above_control,distribution_overlap
HYBRID_ORIGIN,age_bars,4,deterministic full-source quartile,133,40.303030303030305,119,14,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9849624060150376,0.015037593984962405,0.752688,0.8846008195488722,-0.15083553210202336,-0.17375837384656742,1.0,1.0,0.397927230891907
HYBRID_ORIGIN,displacement_atr,1,deterministic full-source quartile,0,0.0,0,0,391,34,0.002352941176470588,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
HYBRID_ORIGIN,displacement_atr,2,deterministic full-source quartile,195,59.09090909090909,168,27,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.761329,0.9402854256410259,-0.15083553210202336,-0.15150676718269152,1.0,1.0,0.40983055677980734
HYBRID_ORIGIN,displacement_atr,3,deterministic full-source quartile,97,29.393939393939394,88,9,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.766667,0.9048326494845358,-0.15083553210202336,-0.17061332747121102,1.0,1.0,0.3748011568449205
HYBRID_ORIGIN,displacement_atr,4,deterministic full-source quartile,99,30.0,90,9,391,34,0.002352941176470588,NO,NO,NO,1.0,0.9636363636363636,0.9354838709677419,1.0,1.0,1.0,-0.02020202020202022,0.756757,0.896111424242425,-0.1938232161874289,-0.2377962030232565,0.9797979797979798,0.98989898989899,0.42473340825684663
HYBRID_ORIGIN,efficiency,1,deterministic full-source quartile,0,0.0,0,0,391,34,0.002352941176470588,YES,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
HYBRID_ORIGIN,efficiency,2,deterministic full-source quartile,195,59.09090909090909,168,27,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.746352,0.9333689128205135,-0.15083553210202336,-0.16078040077079195,1.0,1.0,0.4103956528630047
HYBRID_ORIGIN,efficiency,3,deterministic full-source quartile,97,29.393939393939394,87,10,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.752837,0.9088487525773189,-0.17150225660864066,-0.19863564643920534,1.0,1.0,0.39252888924073726
HYBRID_ORIGIN,efficiency,4,deterministic full-source quartile,99,30.0,91,8,391,34,0.002352941176470588,NO,NO,NO,1.0,0.9666666666666667,0.9393939393939394,1.0,1.0,1.0,-0.02020202020202022,0.802171,0.9057998888888894,-0.15083553210202336,-0.1920737435325998,0.9797979797979798,0.98989898989899,0.40625074382636456
HYBRID_ORIGIN,distance_to_boundary_atr,1,deterministic full-source quartile,97,29.393939393939394,84,13,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.761953,0.9821909690721649,-0.05333333333333242,-0.10348882729959662,1.0,1.0,0.39611536184687707
HYBRID_ORIGIN,distance_to_boundary_atr,2,deterministic full-source quartile,98,29.696969696969695,85,13,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7759499999999999,0.9192654999999993,-0.15083553210202336,-0.14423879970434572,1.0,1.0,0.40594543529852756
HYBRID_ORIGIN,distance_to_boundary_atr,3,deterministic full-source quartile,97,29.393939393939394,86,11,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.746352,0.8624274845360825,-0.1819255759007755,-0.2269468988802093,1.0,1.0,0.3968868802230395
HYBRID_ORIGIN,distance_to_boundary_atr,4,deterministic full-source quartile,99,30.0,91,8,391,34,0.002352941176470588,NO,NO,NO,1.0,0.9655172413793104,0.9259259259259259,1.0,1.0,1.0,-0.02020202020202022,0.759124,0.9174085555555561,-0.1938232161874289,-0.23684311771886554,0.9797979797979798,0.98989898989899,0.42037785922636317
