trade_id,combo_id,scope,ref_time,ref_idx,ref_open,ref_close,ref_mid,ref_body_low,ref_body_high
ENTRY_A_STOP_A_EXIT_A_TRAIN_0015,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-12 04:00:00,985,0.5632,0.5935,0.57835,0.5632,0.5935
ENTRY_A_STOP_A_EXIT_A_TRAIN_0015,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-12 04:00:00,985,0.5632,0.5935,0.57835,0.5632,0.5935
ENTRY_A_STOP_A_EXIT_A_TRAIN_0015,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-12 04:00:00,985,0.5632,0.5935,0.57835,0.5632,0.5935
ENTRY_A_STOP_A_EXIT_A_TRAIN_0015,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-12 04:00:00,985,0.5632,0.5935,0.57835,0.5632,0.5935
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 12:00:00,993,0.5786,0.6265,0.6025499999999999,0.5786,0.6265
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 16:00:00,994,0.6265,0.6449,0.6356999999999999,0.6265,0.6449
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
ENTRY_A_STOP_A_EXIT_A_TRAIN_0016,ENTRY_A_STOP_A_EXIT_A,TRAIN,2023-12-13 20:00:00,995,0.6449,0.6681,0.6565000000000001,0.6449,0.6681
