correction_id,direction,start_i,end_i,start_time,end_time,duration_bars,max_depth_pct,min_abs_distance_to_ema27_pct,min_abs_distance_to_ema200_pct,changed_ema27_slope,changed_ema200_slope,bars_to_update_extreme,updated_extreme
422,DOWN_TREND_PULLBACK,2089,2089,2024-06-13 04:00:00+00:00,2024-06-13 04:00:00+00:00,1,0.046392948271870446,0.9832271689492597,5.727606547317479,False,False,2.0,True
423,DOWN_TREND_PULLBACK,2092,2092,2024-06-13 16:00:00+00:00,2024-06-13 16:00:00+00:00,1,0.7127583749109059,2.190534601950022,7.148403766214349,False,False,1.0,True
424,DOWN_TREND_PULLBACK,2095,2096,2024-06-14 04:00:00+00:00,2024-06-14 08:00:00+00:00,2,0.4755111745126015,1.8069885903562073,7.154438350668807,False,False,1.0,True
425,DOWN_TREND_PULLBACK,2099,2100,2024-06-14 20:00:00+00:00,2024-06-15 00:00:00+00:00,2,1.8285149493451984,3.107642447483151,9.112594114559862,False,False,15.0,True
426,DOWN_TREND_PULLBACK,2103,2105,2024-06-15 12:00:00+00:00,2024-06-15 20:00:00+00:00,3,0.6809338521400703,1.7547322675361139,8.290452747440318,False,False,2.0,True
427,DOWN_TREND_PULLBACK,2107,2109,2024-06-16 04:00:00+00:00,2024-06-16 12:00:00+00:00,3,1.3875365141187885,0.704174616013226,7.4331193032502325,False,False,4.0,True
428,DOWN_TREND_PULLBACK,2111,2111,2024-06-16 20:00:00+00:00,2024-06-16 20:00:00+00:00,1,0.09606147934678469,0.5396812666549639,7.230312058870944,False,False,1.0,True
429,DOWN_TREND_PULLBACK,2116,2116,2024-06-17 16:00:00+00:00,2024-06-17 16:00:00+00:00,1,3.098450774612699,0.7257287517355364,7.75212896755218,False,False,2.0,True
430,DOWN_TREND_PULLBACK,2119,2119,2024-06-18 04:00:00+00:00,2024-06-18 04:00:00+00:00,1,0.1319261213720318,7.377162254948468,14.810583530523566,False,False,,False
431,DOWN_TREND_PULLBACK,2121,2121,2024-06-18 12:00:00+00:00,2024-06-18 12:00:00+00:00,1,0.026680896478118724,7.414278756518959,15.578148760934102,False,False,1.0,True
432,DOWN_TREND_PULLBACK,2123,2125,2024-06-18 20:00:00+00:00,2024-06-19 04:00:00+00:00,3,4.918470997059617,1.9063498000136796,11.157165369372182,False,False,,False
433,DOWN_TREND_PULLBACK,2128,2128,2024-06-19 16:00:00+00:00,2024-06-19 16:00:00+00:00,1,0.7824726134585297,2.702058904134618,12.204767289352503,False,False,6.0,True
434,DOWN_TREND_PULLBACK,2130,2132,2024-06-20 00:00:00+00:00,2024-06-20 08:00:00+00:00,3,2.4453694068678367,0.38995946808300963,10.121224951688426,False,False,1.0,True
435,DOWN_TREND_PULLBACK,2134,2134,2024-06-20 16:00:00+00:00,2024-06-20 16:00:00+00:00,1,1.5199161425576593,1.640919045438905,11.367097721495112,False,False,4.0,True
436,DOWN_TREND_PULLBACK,2136,2136,2024-06-21 00:00:00+00:00,2024-06-21 00:00:00+00:00,1,0.7023933402705463,1.439140533500654,11.229315987855,False,False,2.0,True
437,DOWN_TREND_PULLBACK,2143,2145,2024-06-22 04:00:00+00:00,2024-06-22 12:00:00+00:00,3,3.42795929298339,0.04707315625055937,10.442157980145307,False,False,10.0,True
438,DOWN_TREND_PULLBACK,2148,2148,2024-06-23 00:00:00+00:00,2024-06-23 00:00:00+00:00,1,1.2480499219968866,0.76667563139613,9.422912564772982,True,False,4.0,True
439,DOWN_TREND_PULLBACK,2154,2154,2024-06-24 00:00:00+00:00,2024-06-24 00:00:00+00:00,1,0.02631578947368131,1.4570919820716473,11.042508272465506,False,False,1.0,True
440,DOWN_TREND_PULLBACK,2159,2160,2024-06-24 20:00:00+00:00,2024-06-25 00:00:00+00:00,2,5.017629509085967,1.0507735823807163,8.732786973803275,True,False,,False
441,DOWN_TREND_PULLBACK,2174,2175,2024-06-27 08:00:00+00:00,2024-06-27 12:00:00+00:00,2,1.9804594665962523,0.2058263687891951,7.87597225445453,True,False,,False
442,DOWN_TREND_PULLBACK,2184,2184,2024-06-29 00:00:00+00:00,2024-06-29 00:00:00+00:00,1,3.8361845515811392,3.1169266249887384,3.8941108293360513,True,False,5.0,True
443,DOWN_TREND_PULLBACK,2191,2191,2024-06-30 04:00:00+00:00,2024-06-30 04:00:00+00:00,1,1.6251638269986852,0.21398155605569452,6.569065888193677,False,False,,False
444,DOWN_TREND_PULLBACK,2193,2195,2024-06-30 12:00:00+00:00,2024-06-30 20:00:00+00:00,3,1.8162947586922693,0.3315635851316262,5.193355540377893,True,False,,False
445,DOWN_TREND_PULLBACK,2221,2223,2024-07-05 04:00:00+00:00,2024-07-05 12:00:00+00:00,3,9.10493827160493,7.4276548437221095,13.456501263872445,False,False,,False
446,DOWN_TREND_PULLBACK,2226,2230,2024-07-06 00:00:00+00:00,2024-07-06 16:00:00+00:00,5,6.369608683233357,0.1248368622930059,8.03787316533533,True,False,7.0,True
