entry_variant,signal_time,entry_time,direction,scope,executed,blocked,block_reason,move_id,zone,signal_number_in_move
ENTRY_T2,2023-12-28 04:00:00,2023-12-28 08:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M02,ZONE_1_BIRTH,1.0
ENTRY_A,2023-12-28 16:00:00,2023-12-28 20:00:00,LONG,DEVELOPMENT,True,False,,M02,ZONE_2_FIRST_PULLBACK,2.0
ENTRY_T1,2023-12-28 16:00:00,2023-12-28 20:00:00,LONG,DEVELOPMENT,True,False,,M02,ZONE_2_FIRST_PULLBACK,3.0
ENTRY_T2,2023-12-28 16:00:00,2023-12-28 20:00:00,LONG,DEVELOPMENT,True,False,,M02,ZONE_2_FIRST_PULLBACK,4.0
ENTRY_A,2023-12-29 08:00:00,2023-12-29 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M02,ZONE_3_EARLY_CONTINUATION,5.0
ENTRY_T1,2023-12-29 08:00:00,2023-12-29 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M02,ZONE_3_EARLY_CONTINUATION,6.0
ENTRY_T2,2023-12-29 08:00:00,2023-12-29 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M02,ZONE_3_EARLY_CONTINUATION,7.0
ENTRY_T2,2024-01-01 20:00:00,2024-01-02 00:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M02,ZONE_4_MATURE_MOVE,8.0
ENTRY_T1,2024-01-02 12:00:00,2024-01-02 16:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M02,ZONE_4_MATURE_MOVE,9.0
ENTRY_T1,2024-01-02 16:00:00,2024-01-02 20:00:00,LONG,DEVELOPMENT,True,False,,M02,ZONE_4_MATURE_MOVE,10.0
ENTRY_T2,2024-01-02 16:00:00,2024-01-02 20:00:00,LONG,DEVELOPMENT,True,False,,M02,ZONE_4_MATURE_MOVE,11.0
ENTRY_A,2024-01-09 00:00:00,2024-01-09 04:00:00,SHORT,DEVELOPMENT,True,False,,M03,ZONE_2_FIRST_PULLBACK,1.0
ENTRY_T1,2024-01-09 00:00:00,2024-01-09 04:00:00,SHORT,DEVELOPMENT,True,False,,M03,ZONE_2_FIRST_PULLBACK,2.0
ENTRY_T2,2024-01-09 00:00:00,2024-01-09 04:00:00,SHORT,DEVELOPMENT,True,False,,M03,ZONE_2_FIRST_PULLBACK,3.0
ENTRY_T1,2024-01-09 04:00:00,2024-01-09 08:00:00,SHORT,DEVELOPMENT,False,False,,M03,ZONE_3_EARLY_CONTINUATION,4.0
ENTRY_T1,2024-01-09 08:00:00,2024-01-09 12:00:00,SHORT,DEVELOPMENT,False,False,,M03,ZONE_4_MATURE_MOVE,5.0
ENTRY_T2,2024-01-09 08:00:00,2024-01-09 12:00:00,SHORT,DEVELOPMENT,False,False,,M03,ZONE_4_MATURE_MOVE,6.0
ENTRY_T4,2024-01-09 08:00:00,2024-01-09 12:00:00,SHORT,DEVELOPMENT,True,False,,M03,ZONE_4_MATURE_MOVE,7.0
ENTRY_T1,2024-01-09 12:00:00,2024-01-09 16:00:00,SHORT,DEVELOPMENT,False,False,,M03,ZONE_4_MATURE_MOVE,8.0
ENTRY_T2,2024-01-09 12:00:00,2024-01-09 16:00:00,SHORT,DEVELOPMENT,False,False,,M03,ZONE_4_MATURE_MOVE,9.0
ENTRY_T4,2024-01-09 12:00:00,2024-01-09 16:00:00,SHORT,DEVELOPMENT,False,False,,M03,ZONE_4_MATURE_MOVE,10.0
ENTRY_T2,2024-01-09 16:00:00,2024-01-09 20:00:00,SHORT,DEVELOPMENT,False,False,,M03,ZONE_4_MATURE_MOVE,11.0
