model,k,seed,silhouette,inertia,min_cluster_fraction,degenerate,cluster_1_size,state_1_median_dwell,cluster_2_size,state_2_median_dwell,cluster_3_size,state_3_median_dwell,cluster_4_size,state_4_median_dwell,cluster_5_size,state_5_median_dwell,cluster_6_size,state_6_median_dwell
MODEL_ALIGNED,3,128,0.3341513615630835,13296.220241491912,0.058302808302808304,False,1854,18.0,1231,13.0,191.0,9.0,,,,,,
MODEL_ALIGNED,3,129,0.386508338210816,13419.151333166772,0.06257631257631258,False,2283,30.0,788,11.0,205.0,102.5,,,,,,
MODEL_ALIGNED,4,100,0.347508294998699,9168.32181521774,0.02442002442002442,True,1426,16.0,1594,17.0,80.0,9.0,176.0,22.0,,,,
MODEL_ALIGNED,4,101,0.347508294998699,9168.32181521774,0.02442002442002442,True,1426,16.0,1594,17.0,80.0,9.0,176.0,22.0,,,,
MODEL_ALIGNED,4,102,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
MODEL_ALIGNED,4,103,0.347508294998699,9168.32181521774,0.02442002442002442,True,1426,16.0,1594,17.0,80.0,9.0,176.0,22.0,,,,
MODEL_ALIGNED,4,104,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
MODEL_ALIGNED,4,105,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
MODEL_ALIGNED,4,106,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
MODEL_ALIGNED,4,107,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
MODEL_ALIGNED,4,108,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
MODEL_ALIGNED,4,109,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
MODEL_ALIGNED,4,110,0.3473828417915465,9168.086459840199,0.024114774114774116,True,1428,16.0,1593,17.0,79.0,12.0,176.0,22.0,,,,
